# ID|Name|Type|Rarity|Int|% In Lair|Treasure|Alignment|Number|AC|Move|HD|# Attacks|Damage|Spec Att|Spec Def|Magic Res|Size|Psi|PsiAttDef|XP|Armor|Weapon
3000|Aarakocra|Monstrous Humanoid|Very Rare|Average (8-10)|5%|D|2|1-10|7|6, Fl 36|1+2|2|1-3(x2) or by weapon|Nil|Nil|Standard|M |Nil|Nil|28+2|Nil|Nil
3001|Achaierai|Monster|Very Rare|Average (8-10)|5%|F|9|1-8|8 (legs: -1)|18|40 hp (legs 15 hp each)|3|1-8(x2)/1-10|Nil|Toxic Smoke|35%|L (15')|Nil|Nil|1300+14|Nil|Nil 
3002|Adherer|Monstrous Humanoid|Rare|Semi (2-4)|20%|Nil|7|1-4|3|9|4|1|1-3|Adhesion|Special|Special|M |Nil|Nil|150+4|Nil|Nil 
3003|Al-Mi'raj|Magical Beast|Very Rare|Animal (1)|5%|Nil|5|2-20|6|18|1|1|1-4|Nil|Nil|Special|S (3')|Nil|Nil|10+1|Nil|Nil 
3004|Aleax|Outsider|Very Rare|Genius (17-18)|0%|Nil|5|1|Special|12|Special|Special|Special|Nil|Regeneration|100%|M |Nil|Nil|Special|Nil|Nil 
3005|Algoid|Plant|Very Rare|Semi (2-4)|20%|Dx1/2|6|1-6|5|6|5|2|1-10(x2)|Nil|Immune to edged weapons of less than +2|Immune to fireballs and lightning|M |101-120|A|280+5|Nil|Nil 
3006|Apparition|Undead|Very Rare|Average (8-10)|20%|E|9|1-4|0|24|8|1|Special|Nil|+1 or silver to hit|Standard|M |Nil|Nil|1000+10|Nil|Nil 
3007|Assassin Bug|Vermin|Rare|Animal (1)|50%|Nil|5|2|5|6, Fl 18|1+1|1|1-4|Paralysis|Nil|Standard|S (2')|Nil|Nil|65+2|Nil|Nil 
3008|Astral Searcher|Outsider|Very Rare|Non (0)|0%|Nil|5|4-24|10|12|2|1|1-6|All victims are AC5|Nil|50%|M |Nil|Nil|73+2|Nil|Nil 
3009|Babbler|Magical Beast|Very Rare|Average (8-10)|15%|B|9|1-4|6|6 or 12|5|3|1-6(x2)/1-8|Special|Nil|Standard|L (8')|Nil|Nil|130+5|Nil|Nil 
3010|Bat - Doombat|Magical Beast|Rare|Animal (1)|100%|Nil|8|1-8|4|18|6+3|2|1-6/1-4|Shriek|Nil|Standard|M|Nil|Nil|400+7|Nil|Nil 
3011|Bat - Giant|Animal|Uncommon|Non (0)|50%|Nil|5|3-18|8|3, Fl 18|1/2 to 1|1|1-2 or 1-4|Nil|Special|Standard|S|Nil|Nil|5+1 to 10+1|Nil|Nil 
3012|Berbalang|Monstrous Humanoid|Very Rare|Very (11-12)|Special|D|9|1|6|6, Fl 24|1+1|3|1-4(x2)/1-6|Nil|Nil|Standard|M |Nil|Nil|65+2|Nil|Nil 
3013|Blindheim|Monster|Very Rare|Animal (1)|5%|B|9|1-4|3 (1)|9|4+2|1|1-8|Blinding stare|Nil|Standard|S (4')|Nil|Nil|130+5|Nil|Nil 
3014|Blood Hawk|Animal|Uncommon|Semi (2-4)|25%|Qx2|5|5-15 |7|24|1+1|3|1-4(x2)/1-6|Nil|Nil|Standard|S|Nil|Nil|20+2|Nil|Nil 
3015|Bloodworm - Giant|Vermin|Rare|Non (0)|50%|Q|5|1-4|4|6|6|1|1-8 + blood drain|Nil|Nil|Standard|L (20')|Nil|Nil|225+6|Nil|Nil 
