# ID|Name|Type|Rarity|Int|% In Lair|Treasure|Alignment|Number|AC|Move|HD|# Attacks|Damage|Spec Att|Spec Def|Magic Res|Size|Psi|PsiAttDef|XP|Armor|Weapon
2000|Aasimon - Agathinon|Outsider|Very Rare|Very to Genius (11-18)|0%|Nil|2|1|0|18|7+7|2|By weapon|Special|Special|35%|M-L|177|All/All|1800+10|Nil|Nil
2001|Aboleth|Monster|Very Rare|High (13-14)|20%|F|7|1-4|4|3, Sw 18|8|4|1-6(x4)|Special|Slime|Standard|L|250|CDE/GIJ|1275+10|Nil|Nil 
2002|Afanc|Animal|Very Rare|Low (5-7)|0%|Nil|8|1|6|Sw 15|15|1 or 2|5-20 or 3-12(x2)|Whirlpool|Nil|Standard|L (50')|Nil|Nil|4000+20|Nil|Nil 
2003|Ant Lion|Vermin|Rare|Animal (1)|95%|Special|5|1|2|9, Br 1|9|1|5-20|Special|Nil|Standard|L|Nil|Nil|575+10|Nil|Nil 
2004|Ascomoid|Plant|Very Rare|Unratable|40%|Incidental|8|1|3|12|6+6|1|1 per 1' cloud diameter|Spore jet|Special|Special|L (5-10')|Nil|Nil|775+8|Nil|Nil 
2005|Aspis - Cow|Vermin|Very Rare|Low (5-7)|95%|Nil|5|1|7|3|10|1|3-18|Nil|Special|Standard|L|Nil|Nil|1350+14|Nil|Nil 
2006|Aspis - Drone|Vermin|Rare|Very (11-12)|30%|F|5|2-20|3 (2)|15|6|2|1-4(x2) or by weapon|Nil|Special|Standard|M|Nil|Nil|300+6|Nil|Nil 
2007|Aspis - Larva|Vermin|Rare|Non (0)|90%|Nil|5|3-30|6|1, Sw 6|2 to 5|1|2-7|Nil|Immune to acid|Standard|S|Nil|Nil|28+2 to 130+5|Nil|Nil 
2008|Aurumvorax|Magical Beast|Very Rare|Animal (1)|30%|Incidental|5|1|0|9, Br 3|12|1|2-8|Special|Special|Standard|S|Nil|Nil|2700+16|Nil|Nil 
2009|Azer|Outsider|Very Rare|Low to Very (5-12)|Nil (20%)|Nil (Q, Qx3 in lair)|4|1-4 (3-30)|2|12|2+1 to 5+4|1|By weapon|Heat|Immune to fire|5-20%|M (4.5-5')|Nil|Nil|40+3 to 225+6|Nil|Nil 
